Day,T,pH,Ammonia,Nitrate,TN,OM,AR,cNH3,,C/N Ratio,exp_id,stage
6,45.04345699,8.083497127,5009.67118,149.6441281,2.1213238,34.55508711,0.025337158,1.484398094,,9.448606576,1,3
22,25.12896913,7.214798777,3019.34236,199.8220641,2.39,33.83425087,0.025616232,2.452572838,,8.211479305,1,3
6,45.2277575,8.216808652,5182.301741,119.0391459,2.257180314,35.00560976,0.024619128,1.204658317,,8.995682766,2,3
22,26.23408501,7.237021061,3892.649903,179.8932384,2.35,33.29362369,0.025267608,2.146869541,,8.217807102,2,3
6,47.98992875,8.08,4928.433269,130.0711744,1.856106332,36.53738676,0.025655939,2.147937475,,11.41819271,3,3
22,26.14214091,7.185169065,2217.117988,180.2491103,1.8,36.04181185,0.025856284,3.142134523,,11.61440186,3,3
6,47.99006619,8.090904555,5101.06383,129.3594306,2.147135286,32.3925784,0.02561142,1.50388543,,8.750821956,4,3
22,24.85258708,7.19999501,3445.841393,210.8540925,1.91,31.17616725,0.026072228,2.218401487,,9.467865808,4,3
22,24.85272451,7.296302662,4014.50677,170.2846975,2.44,31.4915331,0.026272311,1.912610013,,7.486291198,5,3
22,25.03688759,7.288884145,2115.5706,159.6085409,1.59,32.52773519,0.02309792,3.083584337,,11.86641246,6,3
8,45.79562044,8.647294589,2950,416.3098457,1.19001996,41.33845829,0.221998069,1.164440452,,20.14943015,7,3
10,42.04744526,8.591182365,2775,1385.310051,1.413972056,38.49390375,0.232762968,1.340549943,,15.79115396,7,3
13,40.81386861,8.527054108,2675,1156.187836,1.440319361,41.99132611,0.219527363,1.525407677,,16.91077573,7,3
16,34.2189781,8.398797595,2725,1032.327259,1.37005988,41.35148971,0.110974376,1.643109304,,17.50710552,7,3
19,32.84306569,8.342685371,2487.5,754.6327513,1.38762475,42.001146,0.1097451,1.719251499,,17.55706193,7,3
22,31.1350365,8.174348697,2200,1181.294472,1.536926148,41.89850043,0.109939326,1.758116888,,15.81277964,7,3
29,26.72262774,8.006012024,1750,976.8291183,1.277844311,41.10395454,0.111442761,1.806451488,,18.65814231,7,3
8,43.75547445,8.887775551,3625,934.4588145,1.427145709,35.80424396,0.30214966,0.962085288,,14.55220923,8,3
10,40.00729927,8.639278557,3462.5,675.5635377,1.457884232,34.51783928,0.308204371,1.183850439,,13.73356547,8,3
13,39.53284672,8.879759519,2800,624.5596431,1.317365269,38.1763942,0.29098468,1.366411836,,16.80936994,8,3
16,33.41240876,8.551102204,3062.5,665.3170784,1.343712575,36.40813589,0.149653664,1.510827241,,15.7164625,8,3
19,32.27372263,8.511022044,3450,530.6513358,1.356886228,36.03695666,0.150527177,1.598658042,,15.4052025,8,3
22,31.41970803,8.422845691,1387.5,544.4151838,1.304191617,36.63288151,0.149124759,1.658030792,,16.29267579,8,3
29,25.39416058,8.150300601,2062.5,661.086373,1.734530938,35.03248762,0.15289104,1.752846395,,11.71525282,8,3
8,45.60583942,8.76753507,3675,400.1214239,1.273453094,38.92060546,0.239784104,0.655876429,,17.72798491,9,3
10,41.62043796,8.543086172,3312.5,783.5132893,1.444710579,38.1177837,0.242935803,0.785179017,,15.30416104,9,3
13,41.09854015,8.599198397,2675,351.9989068,1.35249501,40.00332476,0.235533589,0.897421624,,17.15628116,9,3
16,34.6459854,8.591182365,2575,584.3503724,1.269061876,38.98730655,0.119761125,1.004143742,,17.81981429,9,3
19,33.50729927,8.294589178,3387.5,498.2639506,1.510578842,39.69063251,0.118380574,1.074595013,,15.24078585,9,3
22,32.17883212,8.254509018,2775,503.9353447,1.646706587,39.48058583,0.118792873,1.100680612,,13.90689271,9,3
29,26.15328467,7.933867735,1700,580.1302086,1.813572854,39.65332931,0.118453796,1.153440599,,12.68257352,9,3
19,40.66954644,9.153153153,4443.324937,469.8507463,1.843015521,58.73186751,0.823934135,4.877079533,,18.48449356,10,3
24,31.1663067,9.009009009,4428.211587,371.9402985,1.850110865,58.2529305,0.833496297,5.674873407,,18.26344761,10,3
29,20.25917927,8.882882883,4428.211587,448.358209,1.843015521,57.93363917,0.839871071,5.930769555,,18.2332697,10,3
34,19.6112311,8.792792793,4080.604534,625.0746269,1.871396896,56.28396726,0.872807405,6.066243986,,17.44542425,10,3
19,43.26133909,7.963963964,4171.284635,455.5223881,2.070066519,51.44547138,0.859547063,2.989707492,,14.41536317,11,3
24,33.32613391,7.810810811,4005.037783,555.8208955,2.162305987,51.29108351,0.862280148,3.121606352,,13.75901871,11,3
29,25.22678186,7.756756757,3974.811083,577.3134328,2.123281596,50.673532,0.873212487,3.180228068,,13.84319444,11,3
34,20.79913607,7.774774775,3808.564232,620.2985075,2.141019956,50.51914412,0.875945572,3.224194354,,13.68667667,11,3
14,48.9135255,8.818181818,3555.555556,543.4298441,1.95,55.71836416,0.863625974,2.924285236,,16.57396756,12,3
19,41.26385809,8.736363636,3411.764706,734.9665924,1.96969697,55.05787291,0.876507553,3.967212139,,16.21372306,12,3
24,30.28824834,8.618181818,2993.464052,1077.951002,1.960606061,54.29576763,0.891370914,4.458001269,,16.06343333,12,3
29,22.3059867,8.381818182,2875.816993,1443.207127,1.98030303,53.73689042,0.902270712,4.642047193,,15.73995977,12,3
34,22.86031042,8.263636364,2784.313725,1648.106904,2.010606061,53.22882023,0.912179619,4.744294929,,15.3561587,12,3
14,48.69179601,8.818181818,3620.915033,561.247216,1.95,55.93438132,0.840606817,2.746986288,,16.63822396,13,3
