Day,T,pH,Ammonia,Nitrate,TN,OM,AR,cNH3,,C/N Ratio,exp_id,stage
0,19.97,5.451819838,2562.37911,109.0747331,2.29,46.0884669,0.020871982,0,,11.6739954,1,1
0,19.97226559,5.229619177,2877.176015,78.82562278,2.46,46.22362369,0.020369873,0,,10.89912467,2,1
0,20.06420969,7.511095895,2237.427466,63.87900356,2.39,48.29602787,0.02090229,0,,11.72131267,3,1
0,20.06434713,5.325915741,2176.499033,114.4128114,2.26,48.29602787,0.019586787,0,,12.39554747,4,1
0,19.87990918,6.133325386,2470.98646,89.14590747,2.29,47.6202439,0.020087112,0,,12.06198743,5,1
0,19.88004662,7.651837025,2613.152805,99.82206406,2.46,40.23167247,0.020460615,0,,9.486275176,6,1
0,30.47080292,7.845691383,637.5,261.7696265,1.796007984,44.60304444,0.209643606,0,,14.40518959,7,1
2,42.80656934,8.086172345,1425,345.6071683,1.708183633,44.06906514,0.211664391,0.009006125,,14.96449343,7,1
3,46.12773723,8.991983968,4237.5,388.880538,1.536926148,41.54523168,0.221215558,0.031524397,,15.6794536,7,1
0,31.04014599,8.054108216,3312.5,205.0943378,1.971656687,39.98207923,0.282485876,0,,11.76242366,8,1
2,42.61678832,8.334669339,1787.5,175.5918439,1.769660679,39.98547604,0.282469888,0.003116447,,13.1061462,8,1
3,46.31751825,8.831663327,4025,394.274336,1.668662675,40.20200755,0.281450741,0.011566969,,13.9746818,8,1
0,30.66058394,8.22244489,2112.5,437.1822627,2.01996008,42.23886128,0.22675737,0,,12.12919989,9,1
2,41.05109489,8.078156313,862.5,369.8985857,1.69500998,42.83299508,0.224424933,0.000358364,,14.65780441,9,1
3,46.55474453,8.478957916,3012.5,591.2797337,1.897005988,41.86768205,0.228214537,0.001507929,,12.80185648,9,1
0,17.99136069,5.882882883,256.9269521,116.4179104,2.123281596,74.85608,0.502008032,0,,20.44947786,10,1
0,20.36717063,6.594594595,49.2813,106.8656716,2.023946785,72.39076,0.488758553,0,,20.7465929,11,1
0,19.20177384,6.363636364,366.0130719,173.7193764,2.040909091,74.008891,0.506905321,0,,21.03405353,12,1
3,47.13968958,8.818181818,3947.712418,396.4365256,1.971212121,65.67653988,0.669411396,0.02044954,,19.32589616,12,1
0,18.98004435,6.5,366.0130719,182.6280624,2.010606061,73.16170199,0.511974118,0,,21.1066618,13,1
3,47.58314856,8.654545455,4026.143791,409.7995546,1.959090909,64.92473234,0.669104621,0.020654025,,19.2228739,13,1
0,20.53215078,6.6,366.0130719,200.4454343,1.989393939,72.31451299,0.505903582,0,,21.0846994,14,1
3,48.24833703,8.236363636,4183.006536,467.7060134,1.93030303,62.78289755,0.68007709,0.020409127,,18.86594662,14,1
0,19.20177384,6.690909091,366.0130719,182.6280624,1.981818182,71.46732399,0.501935908,0,,20.91733976,15,1
3,47.02882483,8.136363636,4235.294118,525.6124722,1.95,64.40236198,0.626220014,0.020249064,,19.1571069,15,1
0,16.43015521,6.709090909,366.0130719,213.8084633,1.960606061,70.62013498,0.493232241,0,,20.89300658,16,1
3,46.25277162,8.045454545,4326.797386,592.4276169,1.901515152,64.31765154,0.599038991,0.019897941,,19.61973453,16,1
1,31.08058608,7.264202492,26.5654649,43.84615385,1.869662921,76.76363636,0.11155734,0,,23.81524001,17,1
3,40.14652015,8.385761366,325.426945,23.84615385,1.728089888,74.61818182,0.121857626,0.205546493,,25.04615548,17,1
1,31.08058608,6.757899122,26.5654649,49.23076923,1.771910112,77.85454545,0.11155734,0,,25.48619639,18,1
