Day,T,pH,Ammonia,Nitrate,TN,OM,AR,cNH3,literature,C/N Ratio,exp_id,stage
0,19.97,5.451819838,2562.37911,109.0747331,2.29,46.0884669,0.020871982,0,"Li, Y., et al., Ammonia emissions and biodegradation of organic carbon during sewage sludge composting with different extra carbon sources. International Biodeterioration & Biodegradation, 2013. 85: p. 624-630.",11.6739954,1,1
3,56.81738719,8.267684818,5933.752418,129.7153025,2.637166869,35.18581882,0.025092969,0.491719667,,7.73914154,1,2
6,45.04345699,8.083497127,5009.67118,149.6441281,2.1213238,34.55508711,0.025337158,1.484398094,,9.448606576,1,3
22,25.12896913,7.214798777,3019.34236,199.8220641,2.39,33.83425087,0.025616232,2.452572838,,8.211479305,1,3
0,19.97226559,5.229619177,2877.176015,78.82562278,2.46,46.22362369,0.020369873,0,,10.89912467,2,1
3,58.01430975,8.54916708,5781.431335,99.46619217,2.583701727,37.66369338,0.023612276,0.264024499,,8.455577385,2,2
6,45.2277575,8.216808652,5182.301741,119.0391459,2.257180314,35.00560976,0.024619128,1.204658317,,8.995682766,2,3
22,26.23408501,7.237021061,3892.649903,179.8932384,2.35,33.29362369,0.025267608,2.146869541,,8.217807102,2,3
0,20.06420969,7.511095895,2237.427466,63.87900356,2.39,48.29602787,0.02090229,0,,11.72131267,3,1
3,60.13218511,8.423251894,6370.40619,109.7864769,2.481504395,37.30327526,0.025346314,0.680381377,,8.719561693,3,2
6,47.98992875,8.08,4928.433269,130.0711744,1.856106332,36.53738676,0.025655939,2.147937475,,11.41819271,3,3
22,26.14214091,7.185169065,2217.117988,180.2491103,1.8,36.04181185,0.025856284,3.142134523,,11.61440186,3,3
0,20.06434713,5.325915741,2176.499033,114.4128114,2.26,48.29602787,0.019586787,0,,12.39554747,4,1
3,60.22426665,8.386203665,5558.027079,99.11032028,2.644529134,35.99675958,0.024246064,0.543793669,,7.895466406,4,2
6,47.99006619,8.090904555,5101.06383,129.3594306,2.147135286,32.3925784,0.02561142,1.50388543,,8.750821956,4,3
22,24.85258708,7.19999501,3445.841393,210.8540925,1.91,31.17616725,0.026072228,2.218401487,,9.467865808,4,3
